Date Time,System Marginal Price (SMP),Event occurred at 2017-07-06 14:50:00,Event Message: Sundance 5 Online
2017-07-06 16:28:00,27.77
2017-07-06 16:29:00,27.77
2017-07-06 16:30:00,27.77
2017-07-06 16:31:00,27.77
2017-07-06 16:32:00,27.77
2017-07-06 16:33:00,27.77
2017-07-06 16:34:00,27.77
2017-07-06 16:35:00,27.77
2017-07-06 16:36:00,27.77
2017-07-06 16:37:00,27.77
2017-07-06 16:38:00,27.77
2017-07-06 16:39:00,27.77
2017-07-06 16:40:00,27.77
2017-07-06 16:41:00,27.77
2017-07-06 16:42:00,27.77
2017-07-06 16:43:00,27.77
2017-07-06 16:44:00,27.77
2017-07-06 16:45:00,27.77
2017-07-06 16:46:00,27.77
2017-07-06 16:47:00,27.77
2017-07-06 16:48:00,27.77
2017-07-06 16:49:00,27.77
2017-07-06 16:50:00,27.77
2017-07-06 16:51:00,27.77
2017-07-06 16:52:00,27.77
2017-07-06 16:53:00,27.77
2017-07-06 16:54:00,27.77
2017-07-06 16:55:00,27.77
2017-07-06 16:56:00,27.77
2017-07-06 16:57:00,27.77
2017-07-06 16:58:00,27.77
2017-07-06 16:59:00,27.77
2017-07-06 17:00:00,27.77
2017-07-06 17:01:00,27.77
2017-07-06 17:02:00,27.77
2017-07-06 17:03:00,27.77
2017-07-06 17:04:00,27.77
2017-07-06 17:05:00,27.77
2017-07-06 17:06:00,27.77
2017-07-06 17:07:00,27.77
2017-07-06 17:08:00,27.77
2017-07-06 17:09:00,27.77
2017-07-06 17:10:00,27.77
2017-07-06 17:11:00,27.77
2017-07-06 17:12:00,27.77
2017-07-06 17:13:00,27.77
2017-07-06 17:14:00,27.77
2017-07-06 17:15:00,27.77
2017-07-06 17:16:00,27.77
2017-07-06 17:17:00,27.77
2017-07-06 17:18:00,27.77
2017-07-06 17:19:00,27.77
2017-07-06 17:20:00,27.77
2017-07-06 17:21:00,27.77
2017-07-06 17:22:00,27.77
2017-07-06 17:23:00,27.77
2017-07-06 17:24:00,27.77
2017-07-06 17:25:00,27.77
2017-07-06 17:26:00,27.77
2017-07-06 17:27:00,27.77
2017-07-06 17:28:00,27.77
2017-07-06 17:29:00,27.77
2017-07-06 17:30:00,27.77
2017-07-06 17:31:00,27.77
2017-07-06 17:32:00,27.77
2017-07-06 17:33:00,27.77
2017-07-06 17:34:00,27.77
2017-07-06 17:35:00,27.77
2017-07-06 17:36:00,27.77
2017-07-06 17:37:00,27.77
2017-07-06 17:38:00,27.77
2017-07-06 17:39:00,27.77
2017-07-06 17:40:00,27.77
2017-07-06 17:41:00,27.77
2017-07-06 17:42:00,27.77
2017-07-06 17:43:00,27.77
2017-07-06 17:44:00,27.77
2017-07-06 17:45:00,27.77
2017-07-06 17:46:00,27.77
2017-07-06 17:47:00,27.77
2017-07-06 17:48:00,27.77
2017-07-06 17:49:00,27.77
