Date Time,System Marginal Price (SMP),Event occurred at 2017-05-18 09:50:00,Event Message: Sheerness 2 offline
2017-05-18 08:16:00,39.2
2017-05-18 08:17:00,39.2
2017-05-18 08:18:00,39.2
2017-05-18 08:19:00,39.2
2017-05-18 08:20:00,39.2
2017-05-18 08:21:00,39.2
2017-05-18 08:22:00,39.2
2017-05-18 08:23:00,39.2
2017-05-18 08:24:00,39.2
2017-05-18 08:25:00,39.2
2017-05-18 08:26:00,39.2
2017-05-18 08:27:00,39.2
2017-05-18 08:28:00,39.2
2017-05-18 08:29:00,39.2
2017-05-18 08:30:00,39.2
2017-05-18 08:31:00,39.2
2017-05-18 08:32:00,39.2
2017-05-18 08:33:00,39.2
2017-05-18 08:34:00,39.2
2017-05-18 08:35:00,39.2
2017-05-18 08:36:00,39.2
2017-05-18 08:37:00,39.2
2017-05-18 08:38:00,39.2
2017-05-18 08:39:00,39.2
2017-05-18 08:40:00,39.2
2017-05-18 08:41:00,39.2
2017-05-18 08:42:00,39.2
2017-05-18 08:43:00,39.2
2017-05-18 08:44:00,39.2
2017-05-18 08:45:00,39.2
2017-05-18 08:46:00,39.2
2017-05-18 08:47:00,39.2
2017-05-18 08:48:00,39.2
2017-05-18 08:49:00,31.05
2017-05-18 08:50:00,31.05
2017-05-18 08:51:00,31.05
2017-05-18 08:52:00,31.05
2017-05-18 08:53:00,31.05
2017-05-18 08:54:00,31.05
2017-05-18 08:55:00,31.05
2017-05-18 08:56:00,31.05
2017-05-18 08:57:00,31.05
2017-05-18 08:58:00,31.05
2017-05-18 08:59:00,31.05
2017-05-18 09:00:00,31.05
2017-05-18 09:01:00,31.05
2017-05-18 09:02:00,31.05
2017-05-18 09:03:00,31.05
2017-05-18 09:04:00,31.05
2017-05-18 09:05:00,31.05
2017-05-18 09:06:00,31.05
2017-05-18 09:07:00,31.05
2017-05-18 09:08:00,31.05
2017-05-18 09:09:00,31.05
2017-05-18 09:10:00,31.05
2017-05-18 09:11:00,31.05
2017-05-18 09:12:00,31.05
2017-05-18 09:13:00,31.05
2017-05-18 09:14:00,31.05
2017-05-18 09:15:00,31.05
2017-05-18 09:16:00,31.05
2017-05-18 09:17:00,31.05
2017-05-18 09:18:00,27.77
2017-05-18 09:19:00,27.77
2017-05-18 09:20:00,27.77
2017-05-18 09:21:00,27.77
2017-05-18 09:22:00,27.77
2017-05-18 09:23:00,27.77
2017-05-18 09:24:00,27.77
2017-05-18 09:25:00,27.77
2017-05-18 09:26:00,27.77
2017-05-18 09:27:00,27.77
2017-05-18 09:28:00,27.77
2017-05-18 09:29:00,27.77
2017-05-18 09:30:00,27.77
2017-05-18 09:31:00,27.77
2017-05-18 09:32:00,27.77
2017-05-18 09:33:00,27.77
2017-05-18 09:34:00,27.77
2017-05-18 09:35:00,27.77
2017-05-18 09:36:00,27.77
2017-05-18 09:37:00,27.77
2017-05-18 09:38:00,27.77
2017-05-18 09:39:00,27.77
2017-05-18 09:40:00,27.77
2017-05-18 09:41:00,27.77
2017-05-18 09:42:00,22.18
2017-05-18 09:43:00,22.18
2017-05-18 09:44:00,22.18
2017-05-18 09:45:00,22.18
2017-05-18 09:46:00,22.18
2017-05-18 09:47:00,22.18
2017-05-18 09:48:00,22.18
2017-05-18 09:49:00,22.18
2017-05-18 09:50:00,22.18
2017-05-18 09:51:00,22.18
2017-05-18 09:52:00,22.18
2017-05-18 09:53:00,22.18
2017-05-18 09:54:00,22.18
2017-05-18 09:55:00,22.18
2017-05-18 09:56:00,22.18
2017-05-18 09:57:00,22.18
2017-05-18 09:58:00,22.18
2017-05-18 09:59:00,22.18
2017-05-18 10:00:00,21.97
2017-05-18 10:01:00,21.97
2017-05-18 10:02:00,21.97
2017-05-18 10:03:00,21.97
2017-05-18 10:04:00,21.97
2017-05-18 10:05:00,21.97
2017-05-18 10:06:00,21.97
2017-05-18 10:07:00,22.18
2017-05-18 10:08:00,22.18
2017-05-18 10:09:00,22.18
2017-05-18 10:10:00,22.18
2017-05-18 10:11:00,22.18
2017-05-18 10:12:00,22.18
2017-05-18 10:13:00,22.18
2017-05-18 10:14:00,22.18
2017-05-18 10:15:00,22.18
2017-05-18 10:16:00,22.18
2017-05-18 10:17:00,22.18
2017-05-18 10:18:00,22.18
2017-05-18 10:19:00,22.18
2017-05-18 10:20:00,22.18
2017-05-18 10:21:00,22.18
2017-05-18 10:22:00,22.18
2017-05-18 10:23:00,22.18
2017-05-18 10:24:00,22.18
2017-05-18 10:25:00,22.18
2017-05-18 10:26:00,22.18
2017-05-18 10:27:00,22.18
2017-05-18 10:28:00,22.18
2017-05-18 10:29:00,22.18
2017-05-18 10:30:00,22.18
2017-05-18 10:31:00,22.18
2017-05-18 10:32:00,22.18
2017-05-18 10:33:00,22.18
2017-05-18 10:34:00,22.18
2017-05-18 10:35:00,22.18
2017-05-18 10:36:00,22.18
2017-05-18 10:37:00,22.18
2017-05-18 10:38:00,22.18
2017-05-18 10:39:00,22.18
2017-05-18 10:40:00,22.18
2017-05-18 10:41:00,22.18
2017-05-18 10:42:00,22.18
2017-05-18 10:43:00,22.18
2017-05-18 10:44:00,22.18
2017-05-18 10:45:00,22.18
2017-05-18 10:46:00,22.18
2017-05-18 10:47:00,22.18
2017-05-18 10:48:00,22.18
2017-05-18 10:49:00,22.18
2017-05-18 10:50:00,22.18
2017-05-18 10:51:00,22.18
2017-05-18 10:52:00,22.18
2017-05-18 10:53:00,22.18
2017-05-18 10:54:00,22.18
2017-05-18 10:55:00,22.18
2017-05-18 10:56:00,22.18
2017-05-18 10:57:00,22.18
2017-05-18 10:58:00,22.18
2017-05-18 10:59:00,22.18
2017-05-18 11:00:00,22.18
2017-05-18 11:01:00,22.18
2017-05-18 11:02:00,22.18
2017-05-18 11:03:00,22.18
2017-05-18 11:04:00,22.18
2017-05-18 11:05:00,22.18
2017-05-18 11:06:00,22.18
2017-05-18 11:07:00,22.18
2017-05-18 11:08:00,22.18
2017-05-18 11:09:00,22.18
2017-05-18 11:10:00,22.18
2017-05-18 11:11:00,22.18
2017-05-18 11:12:00,22.18
2017-05-18 11:13:00,22.18
2017-05-18 11:14:00,22.18
2017-05-18 11:15:00,22.18
2017-05-18 11:16:00,22.18
2017-05-18 11:17:00,22.18
2017-05-18 11:18:00,22.18
2017-05-18 11:19:00,22.18
2017-05-18 11:20:00,22.18
2017-05-18 11:21:00,22.18
2017-05-18 11:22:00,22.18
2017-05-18 11:23:00,22.18
2017-05-18 11:24:00,22.18
2017-05-18 11:25:00,22.18
2017-05-18 11:26:00,22.18
2017-05-18 11:27:00,22.18
2017-05-18 11:28:00,22.18
2017-05-18 11:29:00,22.18
2017-05-18 11:30:00,22.18
2017-05-18 11:31:00,22.18
2017-05-18 11:32:00,22.18
2017-05-18 11:33:00,22.18
2017-05-18 11:34:00,22.18
2017-05-18 11:35:00,22.18
2017-05-18 11:36:00,22.18
2017-05-18 11:37:00,22.18
2017-05-18 11:38:00,22.18
2017-05-18 11:39:00,22.18
2017-05-18 11:40:00,22.18
2017-05-18 11:41:00,22.18
2017-05-18 11:42:00,22.18
2017-05-18 11:43:00,22.18
2017-05-18 11:44:00,22.18
2017-05-18 11:45:00,22.18
2017-05-18 11:46:00,22.18
2017-05-18 11:47:00,22.18
2017-05-18 11:48:00,22.18
2017-05-18 11:49:00,20.45
2017-05-18 11:50:00,20.45
2017-05-18 11:51:00,20.45
2017-05-18 11:52:00,20.45
2017-05-18 11:53:00,20.45
2017-05-18 11:54:00,20.45
2017-05-18 11:55:00,20.45
2017-05-18 11:56:00,20.45
2017-05-18 11:57:00,20.45
2017-05-18 11:58:00,20.45
2017-05-18 11:59:00,20.45
2017-05-18 12:00:00,20.42
2017-05-18 12:01:00,20.42
2017-05-18 12:02:00,20.42
2017-05-18 12:03:00,20.42
2017-05-18 12:04:00,20.42
2017-05-18 12:05:00,20.42
2017-05-18 12:06:00,20.42
2017-05-18 12:07:00,20.42
2017-05-18 12:08:00,20.42
2017-05-18 12:09:00,20.42
2017-05-18 12:10:00,20.42
2017-05-18 12:11:00,20.42
2017-05-18 12:12:00,20.42
2017-05-18 12:13:00,20.42
2017-05-18 12:14:00,20.43
2017-05-18 12:15:00,20.43
2017-05-18 12:16:00,20.43
2017-05-18 12:17:00,20.43
2017-05-18 12:18:00,20.43
2017-05-18 12:19:00,20.43
2017-05-18 12:20:00,20.43
2017-05-18 12:21:00,20.43
2017-05-18 12:22:00,20.43
2017-05-18 12:23:00,20.43
2017-05-18 12:24:00,20.43
2017-05-18 12:25:00,20.43
2017-05-18 12:26:00,20.43
2017-05-18 12:27:00,20.43
2017-05-18 12:28:00,20.43
2017-05-18 12:29:00,20.43
2017-05-18 12:30:00,20.43
2017-05-18 12:31:00,20.43
2017-05-18 12:32:00,20.43
2017-05-18 12:33:00,20.43
2017-05-18 12:34:00,20.43
2017-05-18 12:35:00,20.43
2017-05-18 12:36:00,20.43
2017-05-18 12:37:00,20.43
2017-05-18 12:38:00,20.43
2017-05-18 12:39:00,20.42
2017-05-18 12:40:00,20.42
2017-05-18 12:41:00,20.42
2017-05-18 12:42:00,20.42
2017-05-18 12:43:00,20.42
2017-05-18 12:44:00,20.42
2017-05-18 12:45:00,20.42
2017-05-18 12:46:00,20.42
2017-05-18 12:47:00,20.42
2017-05-18 12:48:00,20.42
2017-05-18 12:49:00,20.42
