Date Time,System Marginal Price (SMP),Event occurred at 2017-10-16 08:30:00,Event Message: Path 2 out of service.
2017-10-16 08:36:00,18.5
2017-10-16 08:37:00,18.5
2017-10-16 08:38:00,18.5
2017-10-16 08:39:00,18.5
2017-10-16 08:40:00,18.5
2017-10-16 08:41:00,18.5
2017-10-16 08:42:00,18.5
2017-10-16 08:43:00,18.5
2017-10-16 08:44:00,18.5
2017-10-16 08:45:00,18.5
2017-10-16 08:46:00,18.5
2017-10-16 08:47:00,18.5
2017-10-16 08:48:00,18.5
2017-10-16 08:49:00,18.5
2017-10-16 08:50:00,18.5
2017-10-16 08:51:00,18.5
2017-10-16 08:52:00,18.5
2017-10-16 08:53:00,18.5
2017-10-16 08:54:00,18.5
2017-10-16 08:55:00,18.5
2017-10-16 08:56:00,18.5
2017-10-16 08:57:00,18.5
2017-10-16 08:58:00,18.5
2017-10-16 08:59:00,18.5
2017-10-16 09:00:00,18.5
2017-10-16 09:01:00,18.5
2017-10-16 09:02:00,18.5
2017-10-16 09:03:00,18.5
2017-10-16 09:04:00,18.5
2017-10-16 09:05:00,18.5
2017-10-16 09:06:00,18.5
2017-10-16 09:07:00,18.5
2017-10-16 09:08:00,18.5
2017-10-16 09:09:00,18.5
2017-10-16 09:10:00,18.5
2017-10-16 09:11:00,18.5
2017-10-16 09:12:00,18.5
2017-10-16 09:13:00,18.5
2017-10-16 09:14:00,18.5
2017-10-16 09:15:00,18.5
2017-10-16 09:16:00,18.5
2017-10-16 09:17:00,18.5
2017-10-16 09:18:00,18.5
2017-10-16 09:19:00,18.5
2017-10-16 09:20:00,18.5
2017-10-16 09:21:00,18.5
2017-10-16 09:22:00,18.51
2017-10-16 09:23:00,18.51
2017-10-16 09:24:00,18.51
2017-10-16 09:25:00,18.51
2017-10-16 09:26:00,18.51
2017-10-16 09:27:00,18.51
2017-10-16 09:28:00,18.51
2017-10-16 09:29:00,18.51
2017-10-16 09:30:00,18.51
2017-10-16 09:31:00,18.51
2017-10-16 09:32:00,18.51
2017-10-16 09:33:00,18.51
2017-10-16 09:34:00,18.51
2017-10-16 09:35:00,18.51
2017-10-16 09:36:00,18.51
2017-10-16 09:37:00,18.51
2017-10-16 09:38:00,18.5
2017-10-16 09:39:00,18.5
2017-10-16 09:40:00,18.5
2017-10-16 09:41:00,18.5
2017-10-16 09:42:00,18.5
2017-10-16 09:43:00,18.39
2017-10-16 09:44:00,18.39
2017-10-16 09:45:00,18.39
2017-10-16 09:46:00,18.39
2017-10-16 09:47:00,18.39
2017-10-16 09:48:00,18.39
2017-10-16 09:49:00,18.39
2017-10-16 09:50:00,18.39
2017-10-16 09:51:00,18.39
2017-10-16 09:52:00,18.39
2017-10-16 09:53:00,18.39
2017-10-16 09:54:00,18.29
2017-10-16 09:55:00,18.29
2017-10-16 09:56:00,18.29
2017-10-16 09:57:00,18.29
2017-10-16 09:58:00,18.29
2017-10-16 09:59:00,18.29
2017-10-16 10:00:00,18.29
2017-10-16 10:01:00,18.29
2017-10-16 10:02:00,18.29
2017-10-16 10:03:00,18.29
2017-10-16 10:04:00,18.29
2017-10-16 10:05:00,18.29
2017-10-16 10:06:00,18.29
2017-10-16 10:07:00,18.29
2017-10-16 10:08:00,18.29
2017-10-16 10:09:00,18.29
2017-10-16 10:10:00,18.29
2017-10-16 10:11:00,18.29
2017-10-16 10:12:00,18.29
2017-10-16 10:13:00,18.29
2017-10-16 10:14:00,18.39
2017-10-16 10:15:00,18.39
2017-10-16 10:16:00,18.39
2017-10-16 10:17:00,18.39
2017-10-16 10:18:00,18.39
2017-10-16 10:19:00,18.39
2017-10-16 10:20:00,18.39
2017-10-16 10:21:00,18.39
2017-10-16 10:22:00,18.39
2017-10-16 10:23:00,18.39
2017-10-16 10:24:00,18.39
2017-10-16 10:25:00,18.39
2017-10-16 10:26:00,18.39
2017-10-16 10:27:00,18.39
2017-10-16 10:28:00,18.39
2017-10-16 10:29:00,18.39
2017-10-16 10:30:00,18.39
2017-10-16 10:31:00,18.39
2017-10-16 10:32:00,18.39
2017-10-16 10:33:00,18.39
2017-10-16 10:34:00,18.39
2017-10-16 10:35:00,18.39
2017-10-16 10:36:00,18.39
2017-10-16 10:37:00,18.39
2017-10-16 10:38:00,18.39
2017-10-16 10:39:00,18.39
2017-10-16 10:40:00,18.39
2017-10-16 10:41:00,18.39
2017-10-16 10:42:00,18.39
2017-10-16 10:43:00,18.39
2017-10-16 10:44:00,18.39
2017-10-16 10:45:00,18.39
2017-10-16 10:46:00,18.39
2017-10-16 10:47:00,18.39
2017-10-16 10:48:00,18.39
2017-10-16 10:49:00,18.39
2017-10-16 10:50:00,18.39
2017-10-16 10:51:00,18.39
2017-10-16 10:52:00,18.39
2017-10-16 10:53:00,18.39
2017-10-16 10:54:00,18.39
2017-10-16 10:55:00,18.39
2017-10-16 10:56:00,18.39
2017-10-16 10:57:00,18.39
2017-10-16 10:58:00,18.39
2017-10-16 10:59:00,18.39
2017-10-16 11:00:00,18.39
2017-10-16 11:01:00,18.39
2017-10-16 11:02:00,18.39
2017-10-16 11:03:00,18.39
2017-10-16 11:04:00,18.39
2017-10-16 11:05:00,18.29
2017-10-16 11:06:00,18.29
2017-10-16 11:07:00,18.29
2017-10-16 11:08:00,18.29
2017-10-16 11:09:00,18.29
2017-10-16 11:10:00,18.29
2017-10-16 11:11:00,18.29
2017-10-16 11:12:00,18.29
2017-10-16 11:13:00,18.29
2017-10-16 11:14:00,18.29
2017-10-16 11:15:00,18.29
2017-10-16 11:16:00,18.29
2017-10-16 11:17:00,18.29
2017-10-16 11:18:00,18.29
2017-10-16 11:19:00,18.29
2017-10-16 11:20:00,18.29
2017-10-16 11:21:00,18.29
2017-10-16 11:22:00,18.29
2017-10-16 11:23:00,18.29
2017-10-16 11:24:00,18.29
2017-10-16 11:25:00,18.29
2017-10-16 11:26:00,18.29
2017-10-16 11:27:00,18.29
2017-10-16 11:28:00,18.29
2017-10-16 11:29:00,18.29
