Date Time,System Marginal Price (SMP),Event occurred at 2019-05-15 11:06:00,Event Message: The AESO is doing maintenance today at 11:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements  updates to reports and DVN may be impacted.
2019-05-15 09:45:00,31.0
2019-05-15 09:46:00,31.0
2019-05-15 09:47:00,31.0
2019-05-15 09:48:00,31.0
2019-05-15 09:49:00,31.0
2019-05-15 09:50:00,31.0
2019-05-15 09:51:00,31.0
2019-05-15 09:52:00,31.0
2019-05-15 09:53:00,31.0
2019-05-15 09:54:00,31.0
2019-05-15 09:55:00,31.0
2019-05-15 09:56:00,31.0
2019-05-15 09:57:00,31.0
2019-05-15 09:58:00,31.0
2019-05-15 09:59:00,31.0
2019-05-15 10:00:00,31.0
2019-05-15 10:01:00,31.0
2019-05-15 10:02:00,31.0
2019-05-15 10:03:00,31.0
2019-05-15 10:04:00,31.0
2019-05-15 10:05:00,31.0
2019-05-15 10:06:00,31.0
2019-05-15 10:07:00,31.0
2019-05-15 10:08:00,31.0
2019-05-15 10:09:00,31.0
2019-05-15 10:10:00,31.0
2019-05-15 10:11:00,31.0
2019-05-15 10:12:00,31.0
2019-05-15 10:13:00,31.0
2019-05-15 10:14:00,31.0
2019-05-15 10:15:00,31.0
2019-05-15 10:16:00,31.0
2019-05-15 10:17:00,31.0
2019-05-15 10:18:00,31.0
2019-05-15 10:19:00,31.0
2019-05-15 10:20:00,31.0
2019-05-15 10:21:00,31.0
2019-05-15 10:22:00,31.0
2019-05-15 10:23:00,31.0
2019-05-15 10:24:00,31.0
2019-05-15 10:25:00,31.0
2019-05-15 10:26:00,32.22
2019-05-15 10:27:00,32.22
2019-05-15 10:28:00,32.22
2019-05-15 10:29:00,32.22
2019-05-15 10:30:00,32.22
2019-05-15 10:31:00,32.22
2019-05-15 10:32:00,32.22
2019-05-15 10:33:00,32.22
2019-05-15 10:34:00,32.22
2019-05-15 10:35:00,32.22
2019-05-15 10:36:00,32.22
2019-05-15 10:37:00,32.58
2019-05-15 10:38:00,32.58
2019-05-15 10:39:00,32.58
2019-05-15 10:40:00,32.58
2019-05-15 10:41:00,32.58
2019-05-15 10:42:00,32.58
2019-05-15 10:43:00,32.58
2019-05-15 10:44:00,32.58
2019-05-15 10:45:00,32.58
2019-05-15 10:46:00,32.58
2019-05-15 10:47:00,32.58
2019-05-15 10:48:00,32.58
2019-05-15 10:49:00,32.58
2019-05-15 10:50:00,32.58
2019-05-15 10:51:00,32.58
2019-05-15 10:52:00,32.58
2019-05-15 10:53:00,32.58
2019-05-15 10:54:00,32.58
2019-05-15 10:55:00,32.58
2019-05-15 10:56:00,32.58
2019-05-15 10:57:00,32.58
2019-05-15 10:58:00,32.58
2019-05-15 10:59:00,32.58
2019-05-15 11:00:00,32.58
2019-05-15 11:01:00,32.58
2019-05-15 11:02:00,32.58
2019-05-15 11:03:00,32.58
2019-05-15 11:04:00,32.58
2019-05-15 11:05:00,32.59
2019-05-15 11:06:00,32.59
2019-05-15 11:07:00,32.59
2019-05-15 11:08:00,32.59
2019-05-15 11:09:00,32.59
2019-05-15 11:10:00,32.59
2019-05-15 11:11:00,32.59
2019-05-15 11:12:00,32.59
2019-05-15 11:13:00,32.59
2019-05-15 11:14:00,32.59
2019-05-15 11:15:00,32.59
2019-05-15 11:16:00,32.59
2019-05-15 11:17:00,32.59
2019-05-15 11:18:00,32.59
2019-05-15 11:19:00,32.59
2019-05-15 11:20:00,32.59
2019-05-15 11:21:00,32.59
2019-05-15 11:22:00,32.59
2019-05-15 11:23:00,32.59
2019-05-15 11:24:00,32.59
2019-05-15 11:25:00,32.59
2019-05-15 11:26:00,32.59
2019-05-15 11:27:00,32.59
2019-05-15 11:28:00,32.59
2019-05-15 11:29:00,32.59
2019-05-15 11:30:00,32.59
2019-05-15 11:31:00,32.59
2019-05-15 11:32:00,32.59
2019-05-15 11:33:00,32.59
2019-05-15 11:34:00,32.59
2019-05-15 11:35:00,32.59
2019-05-15 11:36:00,33.57
2019-05-15 11:37:00,33.57
2019-05-15 11:38:00,33.57
2019-05-15 11:39:00,33.57
2019-05-15 11:40:00,33.57
2019-05-15 11:41:00,33.57
2019-05-15 11:42:00,33.57
2019-05-15 11:43:00,33.57
2019-05-15 11:44:00,33.57
2019-05-15 11:45:00,33.57
2019-05-15 11:46:00,33.57
2019-05-15 11:47:00,33.57
2019-05-15 11:48:00,33.57
2019-05-15 11:49:00,33.57
2019-05-15 11:50:00,33.57
2019-05-15 11:51:00,33.57
2019-05-15 11:52:00,33.57
2019-05-15 11:53:00,33.57
2019-05-15 11:54:00,33.57
2019-05-15 11:55:00,33.57
2019-05-15 11:56:00,33.57
2019-05-15 11:57:00,33.57
2019-05-15 11:58:00,33.57
2019-05-15 11:59:00,33.57
2019-05-15 12:00:00,33.57
2019-05-15 12:01:00,33.57
2019-05-15 12:02:00,33.57
2019-05-15 12:03:00,33.57
2019-05-15 12:04:00,33.57
2019-05-15 12:05:00,33.57
2019-05-15 12:06:00,33.57
2019-05-15 12:07:00,33.57
2019-05-15 12:08:00,33.57
2019-05-15 12:09:00,33.57
2019-05-15 12:10:00,33.57
2019-05-15 12:11:00,33.57
2019-05-15 12:12:00,33.57
2019-05-15 12:13:00,33.57
2019-05-15 12:14:00,33.57
2019-05-15 12:15:00,33.57
2019-05-15 12:16:00,33.57
2019-05-15 12:17:00,33.57
2019-05-15 12:18:00,33.57
2019-05-15 12:19:00,33.57
2019-05-15 12:20:00,33.57
2019-05-15 12:21:00,33.57
2019-05-15 12:22:00,33.57
2019-05-15 12:23:00,33.57
2019-05-15 12:24:00,33.57
2019-05-15 12:25:00,33.57
2019-05-15 12:26:00,33.57
2019-05-15 12:27:00,33.57
2019-05-15 12:28:00,33.57
2019-05-15 12:29:00,33.57
2019-05-15 12:30:00,33.57
2019-05-15 12:31:00,33.57
2019-05-15 12:32:00,33.57
2019-05-15 12:33:00,33.57
2019-05-15 12:34:00,33.57
2019-05-15 12:35:00,33.57
2019-05-15 12:36:00,33.57
2019-05-15 12:37:00,33.57
2019-05-15 12:38:00,33.57
2019-05-15 12:39:00,33.57
2019-05-15 12:40:00,33.57
2019-05-15 12:41:00,33.57
2019-05-15 12:42:00,33.57
2019-05-15 12:43:00,33.57
2019-05-15 12:44:00,33.57
2019-05-15 12:45:00,33.57
2019-05-15 12:46:00,33.57
2019-05-15 12:47:00,33.57
2019-05-15 12:48:00,33.57
2019-05-15 12:49:00,33.57
2019-05-15 12:50:00,33.57
2019-05-15 12:51:00,33.57
2019-05-15 12:52:00,33.57
2019-05-15 12:53:00,33.57
2019-05-15 12:54:00,33.57
2019-05-15 12:55:00,33.57
2019-05-15 12:56:00,33.57
2019-05-15 12:57:00,33.57
2019-05-15 12:58:00,33.57
2019-05-15 12:59:00,33.57
2019-05-15 13:00:00,33.57
2019-05-15 13:01:00,39.07
2019-05-15 13:02:00,39.07
2019-05-15 13:03:00,39.07
2019-05-15 13:04:00,39.07
2019-05-15 13:05:00,39.07
2019-05-15 13:06:00,39.07
2019-05-15 13:07:00,39.07
2019-05-15 13:08:00,39.07
2019-05-15 13:09:00,39.07
2019-05-15 13:10:00,39.07
2019-05-15 13:11:00,39.07
2019-05-15 13:12:00,39.07
2019-05-15 13:13:00,39.07
2019-05-15 13:14:00,39.07
2019-05-15 13:15:00,39.07
2019-05-15 13:16:00,39.07
2019-05-15 13:17:00,39.07
2019-05-15 13:18:00,39.07
2019-05-15 13:19:00,39.07
2019-05-15 13:20:00,39.07
2019-05-15 13:21:00,39.07
2019-05-15 13:22:00,55.95
2019-05-15 13:23:00,55.95
2019-05-15 13:24:00,55.95
2019-05-15 13:25:00,55.95
2019-05-15 13:26:00,55.95
2019-05-15 13:27:00,62.48
2019-05-15 13:28:00,62.48
2019-05-15 13:29:00,62.48
2019-05-15 13:30:00,62.48
2019-05-15 13:31:00,62.48
2019-05-15 13:32:00,62.48
2019-05-15 13:33:00,62.48
2019-05-15 13:34:00,62.48
2019-05-15 13:35:00,62.48
2019-05-15 13:36:00,62.48
2019-05-15 13:37:00,62.48
2019-05-15 13:38:00,62.48
2019-05-15 13:39:00,62.48
2019-05-15 13:40:00,62.48
2019-05-15 13:41:00,62.48
2019-05-15 13:42:00,62.48
2019-05-15 13:43:00,62.48
2019-05-15 13:44:00,62.48
2019-05-15 13:45:00,62.48
2019-05-15 13:46:00,62.48
2019-05-15 13:47:00,62.48
2019-05-15 13:48:00,62.48
2019-05-15 13:49:00,62.48
2019-05-15 13:50:00,62.48
2019-05-15 13:51:00,62.48
2019-05-15 13:52:00,62.48
2019-05-15 13:53:00,62.48
2019-05-15 13:54:00,62.48
2019-05-15 13:55:00,62.48
2019-05-15 13:56:00,62.48
2019-05-15 13:57:00,62.48
2019-05-15 13:58:00,62.48
2019-05-15 13:59:00,62.48
2019-05-15 14:00:00,62.48
2019-05-15 14:01:00,62.48
2019-05-15 14:02:00,62.48
2019-05-15 14:03:00,62.48
2019-05-15 14:04:00,62.48
2019-05-15 14:05:00,62.48
