Date Time,System Marginal Price (SMP),Event occurred at 2018-07-01 15:19:00,Event Message: Path 83 out of service.
2018-07-01 13:20:00,25.1
2018-07-01 13:21:00,25.1
2018-07-01 13:22:00,25.1
2018-07-01 13:23:00,25.1
2018-07-01 13:24:00,25.1
2018-07-01 13:25:00,25.1
2018-07-01 13:26:00,25.1
2018-07-01 13:27:00,25.1
2018-07-01 13:28:00,25.1
2018-07-01 13:29:00,25.1
2018-07-01 13:30:00,25.1
2018-07-01 13:31:00,25.1
2018-07-01 13:32:00,25.05
2018-07-01 13:33:00,25.05
2018-07-01 13:34:00,25.05
2018-07-01 13:35:00,25.05
2018-07-01 13:36:00,25.05
2018-07-01 13:37:00,25.05
2018-07-01 13:38:00,25.05
2018-07-01 13:39:00,25.05
2018-07-01 13:40:00,24.73
2018-07-01 13:41:00,24.73
2018-07-01 13:42:00,24.73
2018-07-01 13:43:00,24.73
2018-07-01 13:44:00,24.73
2018-07-01 13:45:00,24.73
2018-07-01 13:46:00,24.73
2018-07-01 13:47:00,24.73
2018-07-01 13:48:00,24.73
2018-07-01 13:49:00,25.15
2018-07-01 13:50:00,25.15
2018-07-01 13:51:00,25.15
2018-07-01 13:52:00,25.15
2018-07-01 13:53:00,25.15
2018-07-01 13:54:00,25.15
2018-07-01 13:55:00,25.15
2018-07-01 13:56:00,25.15
2018-07-01 13:57:00,25.15
2018-07-01 13:58:00,25.15
2018-07-01 13:59:00,25.15
2018-07-01 14:00:00,26.97
2018-07-01 14:01:00,26.97
2018-07-01 14:02:00,27.0
2018-07-01 14:03:00,27.18
2018-07-01 14:04:00,27.18
2018-07-01 14:05:00,27.18
2018-07-01 14:06:00,27.18
2018-07-01 14:07:00,27.18
2018-07-01 14:08:00,27.18
2018-07-01 14:09:00,27.18
2018-07-01 14:10:00,27.18
2018-07-01 14:11:00,27.18
2018-07-01 14:12:00,27.18
2018-07-01 14:13:00,27.18
2018-07-01 14:14:00,27.18
2018-07-01 14:15:00,27.18
2018-07-01 14:16:00,27.18
2018-07-01 14:17:00,27.18
2018-07-01 14:18:00,27.18
2018-07-01 14:19:00,27.18
2018-07-01 14:20:00,27.18
2018-07-01 14:21:00,27.18
2018-07-01 14:22:00,27.18
2018-07-01 14:23:00,27.18
2018-07-01 14:24:00,27.18
2018-07-01 14:25:00,27.18
2018-07-01 14:26:00,27.18
2018-07-01 14:27:00,27.18
2018-07-01 14:28:00,27.18
2018-07-01 14:29:00,27.18
2018-07-01 14:30:00,27.18
2018-07-01 14:31:00,27.18
2018-07-01 14:32:00,27.18
2018-07-01 14:33:00,27.18
2018-07-01 14:34:00,27.18
2018-07-01 14:35:00,27.18
2018-07-01 14:36:00,27.18
2018-07-01 14:37:00,27.18
2018-07-01 14:38:00,27.18
2018-07-01 14:39:00,27.18
2018-07-01 14:40:00,27.18
2018-07-01 14:41:00,27.18
2018-07-01 14:42:00,27.18
2018-07-01 14:43:00,27.18
2018-07-01 14:44:00,27.18
2018-07-01 14:45:00,27.18
2018-07-01 14:46:00,27.18
2018-07-01 14:47:00,27.18
2018-07-01 14:48:00,25.15
2018-07-01 14:49:00,25.15
2018-07-01 14:50:00,25.15
2018-07-01 14:51:00,25.15
2018-07-01 14:52:00,25.05
2018-07-01 14:53:00,25.05
2018-07-01 14:54:00,25.05
2018-07-01 14:55:00,25.05
2018-07-01 14:56:00,25.05
2018-07-01 14:57:00,25.05
2018-07-01 14:58:00,25.05
2018-07-01 14:59:00,25.05
2018-07-01 15:00:00,24.73
2018-07-01 15:01:00,24.73
2018-07-01 15:02:00,24.73
2018-07-01 15:03:00,24.73
2018-07-01 15:04:00,24.73
2018-07-01 15:05:00,24.73
2018-07-01 15:06:00,24.73
2018-07-01 15:07:00,24.73
2018-07-01 15:08:00,24.73
2018-07-01 15:09:00,24.73
2018-07-01 15:10:00,24.73
2018-07-01 15:11:00,24.73
2018-07-01 15:12:00,25.05
2018-07-01 15:13:00,27.0
2018-07-01 15:14:00,27.0
2018-07-01 15:15:00,27.0
2018-07-01 15:16:00,27.18
2018-07-01 15:17:00,27.18
2018-07-01 15:18:00,27.18
2018-07-01 15:19:00,27.18
2018-07-01 15:20:00,27.18
2018-07-01 15:21:00,27.18
2018-07-01 15:22:00,27.18
2018-07-01 15:23:00,27.18
2018-07-01 15:24:00,27.18
2018-07-01 15:25:00,27.18
2018-07-01 15:26:00,27.18
2018-07-01 15:27:00,27.18
2018-07-01 15:28:00,27.18
2018-07-01 15:29:00,27.18
2018-07-01 15:30:00,27.18
2018-07-01 15:31:00,27.18
2018-07-01 15:32:00,27.18
2018-07-01 15:33:00,27.18
2018-07-01 15:34:00,27.18
2018-07-01 15:35:00,27.18
2018-07-01 15:36:00,27.18
2018-07-01 15:37:00,27.18
2018-07-01 15:38:00,27.18
2018-07-01 15:39:00,27.18
2018-07-01 15:40:00,27.18
2018-07-01 15:41:00,27.18
2018-07-01 15:42:00,27.18
2018-07-01 15:43:00,27.18
2018-07-01 15:44:00,27.18
2018-07-01 15:45:00,27.18
2018-07-01 15:46:00,27.18
2018-07-01 15:47:00,27.18
2018-07-01 15:48:00,27.18
2018-07-01 15:49:00,27.18
2018-07-01 15:50:00,27.18
2018-07-01 15:51:00,27.18
2018-07-01 15:52:00,27.18
2018-07-01 15:53:00,27.18
2018-07-01 15:54:00,27.18
2018-07-01 15:55:00,27.18
2018-07-01 15:56:00,27.18
2018-07-01 15:57:00,27.18
2018-07-01 15:58:00,27.18
2018-07-01 15:59:00,27.18
2018-07-01 16:00:00,27.18
2018-07-01 16:01:00,27.18
2018-07-01 16:02:00,27.18
2018-07-01 16:03:00,27.18
2018-07-01 16:04:00,27.18
2018-07-01 16:05:00,27.18
2018-07-01 16:06:00,27.18
2018-07-01 16:07:00,27.18
2018-07-01 16:08:00,27.18
2018-07-01 16:09:00,27.18
2018-07-01 16:10:00,26.96
2018-07-01 16:11:00,26.96
2018-07-01 16:12:00,25.15
2018-07-01 16:13:00,25.1
2018-07-01 16:14:00,25.1
2018-07-01 16:15:00,24.73
2018-07-01 16:16:00,24.73
2018-07-01 16:17:00,24.73
2018-07-01 16:18:00,24.73
2018-07-01 16:19:00,24.73
2018-07-01 16:20:00,24.73
2018-07-01 16:21:00,24.73
2018-07-01 16:22:00,24.73
2018-07-01 16:23:00,24.73
2018-07-01 16:24:00,24.73
2018-07-01 16:25:00,24.73
2018-07-01 16:26:00,24.73
2018-07-01 16:27:00,24.73
2018-07-01 16:28:00,24.73
2018-07-01 16:29:00,24.73
2018-07-01 16:30:00,24.73
2018-07-01 16:31:00,24.73
2018-07-01 16:32:00,24.73
2018-07-01 16:33:00,24.73
2018-07-01 16:34:00,25.05
2018-07-01 16:35:00,25.05
2018-07-01 16:36:00,25.05
2018-07-01 16:37:00,25.05
2018-07-01 16:38:00,25.05
2018-07-01 16:39:00,25.05
2018-07-01 16:40:00,25.05
2018-07-01 16:41:00,25.1
2018-07-01 16:42:00,25.1
2018-07-01 16:43:00,25.1
2018-07-01 16:44:00,25.1
2018-07-01 16:45:00,25.1
2018-07-01 16:46:00,25.1
2018-07-01 16:47:00,25.1
2018-07-01 16:48:00,25.1
2018-07-01 16:49:00,25.1
2018-07-01 16:50:00,25.1
2018-07-01 16:51:00,25.1
2018-07-01 16:52:00,25.1
2018-07-01 16:53:00,25.1
2018-07-01 16:54:00,25.1
2018-07-01 16:55:00,25.1
2018-07-01 16:56:00,25.1
2018-07-01 16:57:00,25.1
2018-07-01 16:58:00,25.1
2018-07-01 16:59:00,25.1
2018-07-01 17:00:00,25.1
2018-07-01 17:01:00,25.1
2018-07-01 17:02:00,25.1
2018-07-01 17:03:00,25.1
2018-07-01 17:04:00,25.1
2018-07-01 17:05:00,25.1
2018-07-01 17:06:00,25.1
2018-07-01 17:07:00,25.1
2018-07-01 17:08:00,25.1
2018-07-01 17:09:00,25.1
2018-07-01 17:10:00,25.1
2018-07-01 17:11:00,25.1
2018-07-01 17:12:00,25.1
2018-07-01 17:13:00,25.1
2018-07-01 17:14:00,25.1
2018-07-01 17:15:00,25.1
2018-07-01 17:16:00,25.1
2018-07-01 17:17:00,25.1
2018-07-01 17:18:00,25.1
2018-07-01 17:19:00,25.1
2018-07-01 17:20:00,25.1
2018-07-01 17:21:00,25.1
2018-07-01 17:22:00,25.1
2018-07-01 17:23:00,25.1
2018-07-01 17:24:00,25.1
2018-07-01 17:25:00,25.1
2018-07-01 17:26:00,25.1
2018-07-01 17:27:00,25.1
2018-07-01 17:28:00,25.1
2018-07-01 17:29:00,25.1
2018-07-01 17:30:00,25.1
2018-07-01 17:31:00,25.1
2018-07-01 17:32:00,25.1
2018-07-01 17:33:00,25.1
2018-07-01 17:34:00,25.1
2018-07-01 17:35:00,25.1
2018-07-01 17:36:00,25.1
2018-07-01 17:37:00,25.1
2018-07-01 17:38:00,25.1
2018-07-01 17:39:00,25.1
2018-07-01 17:40:00,25.1
2018-07-01 17:41:00,25.05
2018-07-01 17:42:00,25.05
2018-07-01 17:43:00,24.73
2018-07-01 17:44:00,24.73
2018-07-01 17:45:00,24.73
2018-07-01 17:46:00,24.73
2018-07-01 17:47:00,24.73
2018-07-01 17:48:00,24.73
2018-07-01 17:49:00,24.73
2018-07-01 17:50:00,24.73
2018-07-01 17:51:00,24.73
2018-07-01 17:52:00,24.73
2018-07-01 17:53:00,24.73
2018-07-01 17:54:00,24.73
2018-07-01 17:55:00,24.73
2018-07-01 17:56:00,24.73
2018-07-01 17:57:00,24.73
2018-07-01 17:58:00,24.73
2018-07-01 17:59:00,24.73
2018-07-01 18:00:00,24.73
2018-07-01 18:01:00,24.73
2018-07-01 18:02:00,24.73
2018-07-01 18:03:00,24.73
2018-07-01 18:04:00,24.73
2018-07-01 18:05:00,24.73
2018-07-01 18:06:00,24.73
2018-07-01 18:07:00,24.73
2018-07-01 18:08:00,24.73
2018-07-01 18:09:00,24.73
2018-07-01 18:10:00,22.62
2018-07-01 18:11:00,22.62
2018-07-01 18:12:00,22.62
2018-07-01 18:13:00,22.62
2018-07-01 18:14:00,22.62
2018-07-01 18:15:00,19.13
2018-07-01 18:16:00,19.13
2018-07-01 18:17:00,19.13
2018-07-01 18:18:00,18.94
